Listing Id 1,Listing Id 2,Close Price 1,Close Price 2,Lot Size Square Feet 1,Lot Size Square Feet 2,Close Price Difference,Lot Size Square Feet Difference,Price to Value Ratio
8308659,3147619,460000.0,500000.0,9900.0,7000.0,40000.0,2900.0,13.793103448275861
8966609,IR959771,400000.0,463500.0,8400.0,7000.0,63500.0,1400.0,45.357142857142854
8966609,5862741,400000.0,480000.0,8400.0,7000.0,80000.0,1400.0,57.142857142857146
8966609,1654217,400000.0,425000.0,8400.0,7200.0,25000.0,1200.0,20.833333333333332
3929459,5568598,505000.0,425000.0,9375.0,7000.0,80000.0,2375.0,33.68421052631579
3929459,2858719,505000.0,565000.0,9375.0,15071.0,60000.0,5696.0,10.53370786516854
5123851,8527059,574900.0,515000.0,6116.0,7840.8,59900.0,1724.8000000000002,34.72866419294991
5730705,5450957,480000.0,520000.0,7100.0,8250.0,40000.0,1150.0,34.78260869565217
5730705,5193954,480000.0,540000.0,7100.0,9100.0,60000.0,2000.0,30.0
5730705,3210187,480000.0,500000.0,7100.0,8400.0,20000.0,1300.0,15.384615384615385
5730705,8665499,480000.0,475000.0,7100.0,8250.0,5000.0,1150.0,4.3478260869565215
3714339,3909585,455000.0,489750.0,7725.0,15071.0,34750.0,7346.0,4.730465559488157
5689489,9695808,478000.0,470000.0,14374.8,7560.0,8000.0,6814.799999999999,1.173915595468686
5689489,6273108,478000.0,450000.0,14374.8,7425.0,28000.0,6949.799999999999,4.028892917781807
IR957161,7398046,462900.0,490000.0,7500.0,6061.0,27100.0,1439.0,18.83252258512856
IR957161,IR965801,462900.0,520000.0,7500.0,6440.0,57100.0,1060.0,53.867924528301884
IR957161,8980826,462900.0,520000.0,7500.0,6440.0,57100.0,1060.0,53.867924528301884
IR957161,7182933,462900.0,492000.0,7500.0,8712.0,29100.0,1212.0,24.00990099009901
5960390,7398046,462900.0,490000.0,7500.0,6061.0,27100.0,1439.0,18.83252258512856
5960390,IR965801,462900.0,520000.0,7500.0,6440.0,57100.0,1060.0,53.867924528301884
5960390,8980826,462900.0,520000.0,7500.0,6440.0,57100.0,1060.0,53.867924528301884
5960390,7182933,462900.0,492000.0,7500.0,8712.0,29100.0,1212.0,24.00990099009901
8239606,9032924,465000.0,532000.0,7300.0,9147.6,67000.0,1847.6000000000004,36.263260445983974
8239606,3287735,465000.0,505000.0,7300.0,8712.0,40000.0,1412.0,28.328611898016998
8239606,3680253,465000.0,502000.0,7300.0,4356.0,37000.0,2944.0,12.567934782608695
7531066,7817574,500000.0,515000.0,9000.0,7875.0,15000.0,1125.0,13.333333333333334
2858375,3614088,459000.0,514000.0,8591.0,6969.6,55000.0,1621.3999999999996,33.921302578019
2858375,4737519,459000.0,515000.0,8591.0,7500.0,56000.0,1091.0,51.329055912007334
2858375,7327211,459000.0,510000.0,8591.0,7400.0,51000.0,1191.0,42.821158690176325
2858375,2956955,459000.0,498000.0,8591.0,7000.0,39000.0,1591.0,24.512884978001257
2858375,6360923,459000.0,490000.0,8591.0,7000.0,31000.0,1591.0,19.484600879949717
2858375,8886751,459000.0,470000.0,8591.0,7400.0,11000.0,1191.0,9.235936188077247
5450957,2272846,520000.0,465000.0,8250.0,7200.0,55000.0,1050.0,52.38095238095238
5450957,2564246,520000.0,545000.0,8250.0,7200.0,25000.0,1050.0,23.80952380952381
5450957,6114754,520000.0,475000.0,8250.0,7200.0,45000.0,1050.0,42.857142857142854
2272846,5193954,465000.0,540000.0,7200.0,9100.0,75000.0,1900.0,39.473684210526315
2272846,3210187,465000.0,500000.0,7200.0,8400.0,35000.0,1200.0,29.166666666666668
2272846,8665499,465000.0,475000.0,7200.0,8250.0,10000.0,1050.0,9.523809523809524
4478531,4128049,515000.0,445000.0,7000.0,14810.4,70000.0,7810.4,8.962409095564889
4478531,4805403,515000.0,497000.0,7000.0,8276.4,18000.0,1276.3999999999996,14.10216233155751
1920110,3580806,475000.0,490000.0,7840.8,9147.6,15000.0,1306.8000000000002,11.478420569329659
5568598,2858719,425000.0,565000.0,7000.0,15071.0,140000.0,8071.0,17.346053772766695
5568598,9007173,425000.0,505000.0,7000.0,8400.0,80000.0,1400.0,57.142857142857146
IR957498,IR959771,475000.0,463500.0,8050.0,7000.0,11500.0,1050.0,10.952380952380953
IR957498,5862741,475000.0,480000.0,8050.0,7000.0,5000.0,1050.0,4.761904761904762
5743027,5193954,485000.0,540000.0,7875.0,9100.0,55000.0,1225.0,44.89795918367347
4128049,4685315,445000.0,490000.0,14810.4,7300.0,45000.0,7510.4,5.991691521090755
4128049,IR962699,445000.0,510000.0,14810.4,7350.0,65000.0,7460.4,8.712669561953783
4128049,9196092,445000.0,477500.0,14810.4,6969.6,32500.0,7840.799999999999,4.144985205591267
4128049,4805403,445000.0,497000.0,14810.4,8276.4,52000.0,6534.0,7.958371594735231
4128049,9447739,445000.0,450000.0,14810.4,7000.0,5000.0,7810.4,0.6401720782546348
9032924,4702769,532000.0,433000.0,9147.6,7500.0,99000.0,1647.6000000000004,60.08739985433356
9032924,1818513,532000.0,503100.0,9147.6,7000.0,28900.0,2147.6000000000004,13.456882100949896
9032924,4702539,532000.0,510000.0,9147.6,7300.0,22000.0,1847.6000000000004,11.90733925092011
9032924,3680253,532000.0,502000.0,9147.6,4356.0,30000.0,4791.6,6.260956674179814
9032924,3716150,532000.0,492000.0,9147.6,7400.0,40000.0,1747.6000000000004,22.88853284504463
9032924,6820887,532000.0,455000.0,9147.6,6969.6,77000.0,2178.0,35.35353535353536
7690104,6964114,523000.0,500000.0,12528.0,10125.0,23000.0,2403.0,9.57136912193092
9623639,5193954,556500.0,540000.0,7665.0,9100.0,16500.0,1435.0,11.498257839721255
7239634,3580806,492000.0,490000.0,7500.0,9147.6,2000.0,1647.6000000000004,1.2138868657441124
2057640,3580806,475000.0,490000.0,7000.0,9147.6,15000.0,2147.6000000000004,6.984540882845966
4094648,9308837,440000.0,521500.0,10388.0,9230.0,81500.0,1158.0,70.37996545768567
4094648,3909585,440000.0,489750.0,10388.0,15071.0,49750.0,4683.0,10.623531923980355
4094648,7479660,440000.0,535000.0,10388.0,7350.0,95000.0,3038.0,31.270572745227124
4094648,9747735,440000.0,330000.0,10388.0,7200.0,110000.0,3188.0,34.50439146800502
4094648,4813491,440000.0,455000.0,10388.0,7000.0,15000.0,3388.0,4.427390791027155
4094648,2935462,440000.0,443800.0,10388.0,7405.2,3800.0,2982.8,1.2739707657234811
4094648,4866068,440000.0,432000.0,10388.0,8505.0,8000.0,1883.0,4.248539564524695
3803356,5193954,535000.0,540000.0,7400.0,9100.0,5000.0,1700.0,2.9411764705882355
2077952,6135593,505000.0,535000.0,6400.0,8400.0,30000.0,2000.0,15.0
2077952,3287735,505000.0,505000.0,6400.0,8712.0,0.0,2312.0,0.0
5193954,3780610,540000.0,460000.0,9100.0,7875.0,80000.0,1225.0,65.3061224489796
5193954,3837465,540000.0,555000.0,9100.0,7811.0,15000.0,1289.0,11.636927851047323
5193954,2564246,540000.0,545000.0,9100.0,7200.0,5000.0,1900.0,2.6315789473684212
5193954,5045231,540000.0,489900.0,9100.0,7560.0,50100.0,1540.0,32.532467532467535
5193954,4833621,540000.0,467500.0,9100.0,7840.8,72500.0,1259.1999999999998,57.57623888182974
5193954,6114754,540000.0,475000.0,9100.0,7200.0,65000.0,1900.0,34.21052631578947
3865941,7281594,485000.0,485000.0,9750.0,8100.0,0.0,1650.0,0.0
3865941,3680253,485000.0,502000.0,9750.0,4356.0,17000.0,5394.0,3.1516499814608823
6135593,1818513,535000.0,503100.0,8400.0,7000.0,31900.0,1400.0,22.785714285714285
3226464,6736869,530000.0,450000.0,6050.0,3484.8,80000.0,2565.2,31.186652112895683
3226464,5545387,530000.0,420000.0,6050.0,3354.0,110000.0,2696.0,40.80118694362018
7398046,1610831,490000.0,510000.0,6061.0,7681.0,20000.0,1620.0,12.345679012345679
7398046,7182933,490000.0,492000.0,6061.0,8712.0,2000.0,2651.0,0.7544322897019993
8236453,9332346,490000.0,500000.0,11700.0,9100.0,10000.0,2600.0,3.8461538461538463
8236453,2818530,490000.0,501000.0,11700.0,7500.0,11000.0,4200.0,2.619047619047619
8236453,3692317,490000.0,461000.0,11700.0,14250.0,29000.0,2550.0,11.372549019607844
8236453,IR965801,490000.0,520000.0,11700.0,6440.0,30000.0,5260.0,5.7034220532319395
8236453,8980826,490000.0,520000.0,11700.0,6440.0,30000.0,5260.0,5.7034220532319395
8236453,3326415,490000.0,550000.0,11700.0,7670.0,60000.0,4030.0,14.88833746898263
8236453,9861262,490000.0,479000.0,11700.0,8400.0,11000.0,3300.0,3.3333333333333335
8236453,IR973724,490000.0,480000.0,11700.0,7875.0,10000.0,3825.0,2.6143790849673203
8236453,3744427,490000.0,480000.0,11700.0,7875.0,10000.0,3825.0,2.6143790849673203
8236453,3604680,490000.0,410000.0,11700.0,7500.0,80000.0,4200.0,19.047619047619047
2956955,3399550,498000.0,485000.0,7000.0,8400.0,13000.0,1400.0,9.285714285714286
7281594,3680253,485000.0,502000.0,8100.0,4356.0,17000.0,3744.0,4.5405982905982905
9308837,3909585,521500.0,489750.0,9230.0,15071.0,31750.0,5841.0,5.435713062831707
9308837,7479660,521500.0,535000.0,9230.0,7350.0,13500.0,1880.0,7.180851063829787
9308837,9747735,521500.0,330000.0,9230.0,7200.0,191500.0,2030.0,94.33497536945812
9308837,4813491,521500.0,455000.0,9230.0,7000.0,66500.0,2230.0,29.820627802690584
9308837,2935462,521500.0,443800.0,9230.0,7405.2,77700.0,1824.8000000000002,42.58000876808417
9332346,2818530,500000.0,501000.0,9100.0,7500.0,1000.0,1600.0,0.625
9332346,3692317,500000.0,461000.0,9100.0,14250.0,39000.0,5150.0,7.572815533980583
9332346,IR965801,500000.0,520000.0,9100.0,6440.0,20000.0,2660.0,7.518796992481203
9332346,8980826,500000.0,520000.0,9100.0,6440.0,20000.0,2660.0,7.518796992481203
9332346,3326415,500000.0,550000.0,9100.0,7670.0,50000.0,1430.0,34.96503496503497
9332346,IR973724,500000.0,480000.0,9100.0,7875.0,20000.0,1225.0,16.3265306122449
9332346,3744427,500000.0,480000.0,9100.0,7875.0,20000.0,1225.0,16.3265306122449
9332346,3604680,500000.0,410000.0,9100.0,7500.0,90000.0,1600.0,56.25
7739537,5893753,545000.0,530000.0,8550.0,9775.0,15000.0,1225.0,12.244897959183673
2818530,3692317,501000.0,461000.0,7500.0,14250.0,40000.0,6750.0,5.925925925925926
8014499,1998529,505000.0,485000.0,7260.0,8276.0,20000.0,1016.0,19.68503937007874
2564246,3210187,545000.0,500000.0,7200.0,8400.0,45000.0,1200.0,37.5
2564246,8665499,545000.0,475000.0,7200.0,8250.0,70000.0,1050.0,66.66666666666667
3909585,7479660,489750.0,535000.0,15071.0,7350.0,45250.0,7721.0,5.860639813495661
3909585,2604145,489750.0,475000.0,15071.0,6969.6,14750.0,8101.4,1.8206729701039328
3909585,9747735,489750.0,330000.0,15071.0,7200.0,159750.0,7871.0,20.29602337695337
3909585,4813491,489750.0,455000.0,15071.0,7000.0,34750.0,8071.0,4.305538347168876
3909585,2935462,489750.0,443800.0,15071.0,7405.2,45950.0,7665.8,5.994155861097341
3909585,4866068,489750.0,432000.0,15071.0,8505.0,57750.0,6566.0,8.795309168443497
4702769,3287735,433000.0,505000.0,7500.0,8712.0,72000.0,1212.0,59.40594059405941
4702769,3680253,433000.0,502000.0,7500.0,4356.0,69000.0,3144.0,21.946564885496183
1818513,3287735,503100.0,505000.0,7000.0,8712.0,1900.0,1712.0,1.1098130841121496
3692317,3326415,461000.0,550000.0,14250.0,7670.0,89000.0,6580.0,13.525835866261398
3692317,8796724,461000.0,472500.0,14250.0,8400.0,11500.0,5850.0,1.9658119658119657
3692317,3604680,461000.0,410000.0,14250.0,7500.0,51000.0,6750.0,7.555555555555555
3287735,4702539,505000.0,510000.0,8712.0,7300.0,5000.0,1412.0,3.5410764872521248
3287735,3680253,505000.0,502000.0,8712.0,4356.0,3000.0,4356.0,0.6887052341597796
3287735,3716150,505000.0,492000.0,8712.0,7400.0,13000.0,1312.0,9.908536585365853
3287735,6820887,505000.0,455000.0,8712.0,6969.6,50000.0,1742.3999999999996,28.696051423324157
4702539,3680253,510000.0,502000.0,7300.0,4356.0,8000.0,2944.0,2.717391304347826
3399550,9271341,485000.0,450000.0,8400.0,7000.0,35000.0,1400.0,25.0
7479660,4866068,535000.0,432000.0,7350.0,8505.0,103000.0,1155.0,89.17748917748918
3210187,6114754,500000.0,475000.0,8400.0,7200.0,25000.0,1200.0,20.833333333333332
1827159,IR971875,535000.0,515000.0,6098.4,7405.0,20000.0,1306.6000000000004,15.306903413439457
IR965801,1610831,520000.0,510000.0,6440.0,7681.0,10000.0,1241.0,8.058017727639001
IR965801,9861262,520000.0,479000.0,6440.0,8400.0,41000.0,1960.0,20.918367346938776
IR965801,7182933,520000.0,492000.0,6440.0,8712.0,28000.0,2272.0,12.32394366197183
8980826,1610831,520000.0,510000.0,6440.0,7681.0,10000.0,1241.0,8.058017727639001
8980826,9861262,520000.0,479000.0,6440.0,8400.0,41000.0,1960.0,20.918367346938776
8980826,7182933,520000.0,492000.0,6440.0,8712.0,28000.0,2272.0,12.32394366197183
1610831,7182933,510000.0,492000.0,7681.0,8712.0,18000.0,1031.0,17.458777885548013
3580806,9271341,490000.0,450000.0,9147.6,7000.0,40000.0,2147.6000000000004,18.62544235425591
2604145,4866068,475000.0,432000.0,6969.6,8505.0,43000.0,1535.3999999999996,28.005731405496945
9196092,4805403,477500.0,497000.0,6969.6,8276.4,19500.0,1306.7999999999993,14.921946740128567
4805403,9447739,497000.0,450000.0,8276.4,7000.0,47000.0,1276.3999999999996,36.82231275462239
9747735,4866068,330000.0,432000.0,7200.0,8505.0,102000.0,1305.0,78.16091954022988
8665499,6114754,475000.0,475000.0,8250.0,7200.0,0.0,1050.0,0.0
5893753,7817574,530000.0,515000.0,9775.0,7875.0,15000.0,1900.0,7.894736842105263
8374785,4677583,505000.0,535000.0,4500.0,6464.0,30000.0,1964.0,15.274949083503055
3680253,6820887,502000.0,455000.0,4356.0,6969.6,47000.0,2613.6000000000004,17.9828588919498
4813491,4866068,455000.0,432000.0,7000.0,8505.0,23000.0,1505.0,15.282392026578073
8725802,9311605,555000.0,500000.0,8858.0,9900.0,55000.0,1042.0,52.783109404990405
3505430,6143378,476500.0,439800.0,8480.0,7405.2,36700.0,1074.8000000000002,34.145887606996645
2935462,4866068,443800.0,432000.0,7405.2,8505.0,11800.0,1099.8000000000002,10.72922349518094
